Contract_ID,Plan_Name,Overall_Stars,Member Experience (HD3),Getting_Needed_Care,Getting_Care_Quickly,Customer_Service,Rating_Health_Quality,Rating_Health_Plan,Care_Coordination
H3811,Samaritan Advantage Health Plans,3,2,2,1,3,2,2,3
H3814,ATRIO Health Plans,2.5,2,2,1,3,1,2,3
H3817,Regence BlueCross BlueShield of Oregon,3.5,3,2,1,5,3,2,2
H3822,"Blue Cross and Blue Shield of IL, NM",4,3,3,3,3,4,2,4
H3832,HMSA Akamai Advantage,3.5,3,3,3,2,3,3,3
H3864,PacificSource Medicare,3.5,3,2,2,5,2,4,4
H3907,UPMC for Life,4.5,5,5,5,5,5,5,5
H3909,Independence Blue Cross,4,4,3,4,5,4,4,3
H3923,Capital Blue Cross,4.5,4,5,4,4,4,4,5
H3924,Geisinger Gold,4.5,5,3,4,5,5,5,5
H3979,Blue Cross and Blue Shield of Oklahoma,4,4,5,4,4,4,4,4
H4003,Medicare y Mucho Mas,4.5,3,2,2,3,4,5,3
H4004,PMC Medicare Choice,4,3,1,4,3,4,5,3
H4005,Triple-S Advantage,3.5,3,1,3,2,4,4,3
H4045,Santa Clara Family Health Plan,3,1,1,1,1,2,2,1
H4140,"Doctors HealthCare Plans, Inc.",4,5,4,5,5,5,5,5
H4161,Anthem Blue Cross Partnership Plan,3,Plan too new to be measured,1,Not enough data available,Not enough data available,Not enough data available,1,Not enough data available
H4227,VISTA Health Plan Inc.,3.5,4,5,4,4,4,4,5
H4279,UPMC for Life Complete Care,4,4,3,3,4,4,5,4
H4286,"Leon Health, Inc.",5,5,5,5,5,5,5,5
H4439,Provider Partners Health Plans,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4444,Provider Partners Health Plan of Indiana,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4497,Medical Mutual of Ohio,4,5,5,4,5,5,5,5
H4605,Regence BlueCross BlueShield of Utah,4,5,5,5,4,5,4,4
H4618,"Sonder Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4624,Zing Health,3.5,3,3,2,4,2,3,3
H4647,UCLA Health Medicare Advantage Plan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4676,Troy Medicare,3.5,4,4,4,5,3,4,5
H4704,Anthem Blue Cross Life and Health Insurance Compan,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4733,Community Health Group,3,2,2,1,3,3,4,1
H4801,"Blue Cross and Blue Shield of OK, TX",3,3,4,4,3,3,2,4
H4931,Banner Medicare Advantage,3.5,3,3,3,1,4,4,2
H5010,Asuris Northwest Health,3,3,3,2,3,3,2,3
H5106,Highmark Blue Cross Blue Shield,4.5,5,5,5,5,4,5,5
H5141,Clover Health,4,3,3,2,3,4,3,4
H5163,Verda Health Plan of Texas,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5209,My Choice Wisconsin,3.5,3,2,4,3,2,1,4
